dataset,family,horizon,metric,delta,wins,ties,n_origins,improved_fraction
news,semantic_vs_arm90,13,mape,-0.0011898945876412863,26,4,61,0.4262295081967213
news,semantic_vs_arm90,14,mse,-5.7499229133907424e-06,27,4,61,0.4426229508196721
news,semantic_vs_arm90,14,mae,-3.7890468065533135e-05,26,4,61,0.4262295081967213
news,semantic_vs_arm90,14,mape,-0.003097116140262534,26,4,61,0.4262295081967213
news,semantic_vs_arm90,15,mse,-7.636234841639834e-06,27,4,61,0.4426229508196721
news,semantic_vs_arm90,15,mae,-1.6593948460037802e-05,26,4,61,0.4262295081967213
news,semantic_vs_arm90,15,mape,-0.0007226245283818319,26,4,61,0.4262295081967213
news,semantic_vs_arm90,16,mse,-8.578773344299912e-06,24,4,61,0.39344262295081966
news,semantic_vs_arm90,16,mae,-0.00020767705242342882,24,4,61,0.39344262295081966
news,semantic_vs_arm90,16,mape,-0.019741841830266494,24,4,61,0.39344262295081966
news,semantic_vs_arm90,17,mse,-1.0076997821254594e-05,28,4,61,0.45901639344262296
news,semantic_vs_arm90,17,mae,-0.00012203933765747507,27,4,61,0.4426229508196721
news,semantic_vs_arm90,17,mape,-0.010875881921789936,27,4,61,0.4426229508196721
news,semantic_vs_arm90,18,mse,-8.049484222973813e-06,29,4,61,0.47540983606557374
news,semantic_vs_arm90,18,mae,-0.00011729773362554237,27,4,61,0.4426229508196721
news,semantic_vs_arm90,18,mape,-0.010605974689596306,27,4,61,0.4426229508196721
news,semantic_vs_arm90,19,mse,-1.1401369789594268e-05,24,4,61,0.39344262295081966
news,semantic_vs_arm90,19,mae,-0.00028949605246138174,23,4,61,0.3770491803278688
news,semantic_vs_arm90,19,mape,-0.02751739453866871,23,4,61,0.3770491803278688
news,semantic_vs_arm90,20,mse,-7.970824921852732e-06,24,4,61,0.39344262295081966
news,semantic_vs_arm90,20,mae,-0.00014765255940644344,25,4,61,0.4098360655737705
news,semantic_vs_arm90,20,mape,-0.013444082625458218,25,4,61,0.4098360655737705
news,semantic_vs_arm90,21,mse,-6.601207863539361e-06,29,4,61,0.47540983606557374
news,semantic_vs_arm90,21,mae,-0.00010841976002372373,29,4,61,0.47540983606557374
news,semantic_vs_arm90,21,mape,-0.009648308094453707,29,4,61,0.47540983606557374
news,semantic_vs_arm90,22,mse,-1.0547465602639555e-05,25,4,61,0.4098360655737705
news,semantic_vs_arm90,22,mae,-0.00018269896470075005,25,4,61,0.4098360655737705
news,semantic_vs_arm90,22,mape,-0.0167188551239912,25,4,61,0.4098360655737705
news,semantic_vs_arm90,23,mse,-1.1690423184136213e-05,24,4,61,0.39344262295081966
news,semantic_vs_arm90,23,mae,-0.0001897859012445409,24,4,61,0.39344262295081966
news,semantic_vs_arm90,23,mape,-0.017238736521308046,24,4,61,0.39344262295081966
news,semantic_vs_arm90,24,mse,-1.1564933322819708e-05,24,4,61,0.39344262295081966
news,semantic_vs_arm90,24,mae,-0.00013198735976355385,23,4,61,0.3770491803278688
news,semantic_vs_arm90,24,mape,-0.011592169687555241,23,4,61,0.3770491803278688
macro_crypto,route_vs_dlinear,1,mse,9.024717871169671e-06,89,0,164,0.5426829268292683
macro_crypto,route_vs_dlinear,1,mae,0.0006153589583993927,88,0,164,0.5365853658536586
macro_crypto,route_vs_dlinear,1,mape,0.05868496652689873,88,0,164,0.5365853658536586
macro_crypto,route_vs_dlinear,2,mse,4.9037544364000774e-05,141,0,164,0.8597560975609756
macro_crypto,route_vs_dlinear,2,mae,0.0018855631351470947,122,0,164,0.7439024390243902
macro_crypto,route_vs_dlinear,2,mape,0.1866350309171794,122,0,164,0.7439024390243902
macro_crypto,route_vs_dlinear,3,mse,1.6960397931427566e-05,106,0,164,0.6463414634146342
macro_crypto,route_vs_dlinear,3,mae,0.00101515432683433,104,0,164,0.6341463414634146
macro_crypto,route_vs_dlinear,3,mape,0.09772077979012982,104,0,164,0.6341463414634146
macro_crypto,route_vs_dlinear,4,mse,4.633308564955839e-05,126,0,164,0.7682926829268293
macro_crypto,route_vs_dlinear,4,mae,0.001095365702621336,112,0,164,0.6829268292682927
macro_crypto,route_vs_dlinear,4,mape,0.11027097703013346,112,0,164,0.6829268292682927
macro_crypto,route_vs_dlinear,5,mse,6.334843883686938e-05,120,0,164,0.7317073170731707
macro_crypto,route_vs_dlinear,5,mae,0.0015668294778684291,109,0,164,0.6646341463414634
macro_crypto,route_vs_dlinear,5,mape,0.15934848721645622,109,0,164,0.6646341463414634
macro_crypto,route_vs_dlinear,6,mse,6.793447197180248e-05,109,0,164,0.6646341463414634
macro_crypto,route_vs_dlinear,6,mae,0.0014109783540896285,96,0,164,0.5853658536585366
macro_crypto,route_vs_dlinear,6,mape,0.1467297843235408,96,0,164,0.5853658536585366
macro_crypto,route_vs_dlinear,7,mse,7.265693727555367e-05,124,0,164,0.7560975609756098
macro_crypto,route_vs_dlinear,7,mae,0.0013123229751741987,109,0,164,0.6646341463414634
macro_crypto,route_vs_dlinear,7,mape,0.13069118722492304,109,0,164,0.6646341463414634
macro_crypto,route_vs_dlinear,8,mse,-2.1359131834200664e-05,76,0,164,0.4634146341463415
macro_crypto,route_vs_dlinear,8,mae,-0.0008566482522623328,75,0,164,0.4573170731707317
macro_crypto,route_vs_dlinear,8,mape,-0.0833783187611062,75,0,164,0.4573170731707317
