dataset,asset,candidate,reference,metric,n,delta,ci_low,ci_high,p_two_sided,block_days,resamples,interpretation
news,Pooled,Time-MoE,DLinear,mae,61,0.0008388097718876258,-0.0009096712886783728,0.002831608488581643,0.4326,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,DLinear,mape,61,0.08517731634094344,-0.08977853555627534,0.2833433193832015,0.4218,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,GPT4TS,mse,50,-2.9604299941502987e-05,-9.514221166024702e-05,2.4204715338299372e-05,0.3444,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,GPT4TS,mae,50,-0.0011225493053358708,-0.0032520463895438366,0.0005820377776175098,0.276,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,GPT4TS,mape,50,-0.11479592494629667,-0.32891270131502115,0.056726616340703105,0.2694,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,GPT4TS,mse,10,-0.00047456251098026357,-0.0007956106601372917,-0.0002589726975966275,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,GPT4TS,mae,10,-0.004437865874943188,-0.008613772734767598,-0.0018161754180594074,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,GPT4TS,mape,10,-0.43282427859574196,-0.8411362315441684,-0.17719738494041046,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,GPT4TS,mse,1,8.818093258302877e-05,8.818093258302877e-05,8.818093258302877e-05,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,GPT4TS,mae,1,0.0007414460296553595,0.0007414460296553595,0.0007414460296553595,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,GPT4TS,mape,1,0.07569375024765779,0.07569375024765779,0.07569375024765779,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,GPT4TS,mse,61,-0.00010061736351302879,-0.0002476435307334081,-3.369557609636343e-05,0.121,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,GPT4TS,mae,61,-0.0016354865243700014,-0.004626479491790716,-0.00023902202748851022,0.1814,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,GPT4TS,mape,61,-0.16380893906597704,-0.46374655283484384,-0.023343601020763736,0.1824,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,PatchTST,mse,50,2.1519787616399677e-05,-2.4398799988892177e-05,8.82106148132468e-05,0.4744,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,PatchTST,mae,50,0.0004964939480481534,-0.0007867715186526763,0.002281949708162244,0.545,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,PatchTST,mape,50,0.046768075830325315,-0.08283918084488855,0.22469444095699592,0.5706,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,PatchTST,mse,10,-0.00034244506009867076,-0.000628036848215404,-0.00013295217422608658,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
