dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
news,Time-MoE,0,BTC,all,2184,18,0.00031057567297229893,0.013196627119720045,1.3171626577176538
news,Time-MoE,0,BTC,all,2184,19,0.0003251177733640211,0.01352084727590066,1.3493160469669672
news,Time-MoE,0,BTC,all,2184,20,0.0003396557172400157,0.013866228925326959,1.3835539485746926
news,Time-MoE,0,BTC,all,2184,21,0.0003538435535206625,0.01415552843532224,1.4121723892984572
news,Time-MoE,0,BTC,all,2184,22,0.0003684797939393706,0.014441929728284834,1.4405281107076038
news,Time-MoE,0,BTC,all,2184,23,0.0003824355075653426,0.014720006893095293,1.468000349099252
news,Time-MoE,0,BTC,all,2184,24,0.0003964571888676417,0.014974117039365539,1.4930655085173885
news,Time-MoE,0,BTC,event,50,1,1.5687042215571273e-05,0.0028935305134546742,0.2898568562651789
news,Time-MoE,0,BTC,event,50,2,4.394418495118054e-05,0.004895839819410434,0.49190668950520106
news,Time-MoE,0,BTC,event,50,3,5.4710209749401255e-05,0.00549144923496324,0.5517821603541448
news,Time-MoE,0,BTC,event,50,4,7.598766481956503e-05,0.006394307018024688,0.6424944357080362
news,Time-MoE,0,BTC,event,50,5,0.00012320717129570924,0.0080467898849741,0.8078010541707549
news,Time-MoE,0,BTC,event,50,6,0.00013621533172882244,0.008732788328818459,0.8782504532018949
news,Time-MoE,0,BTC,event,50,7,0.00014847590130095422,0.009205659345618192,0.9268660145802566
news,Time-MoE,0,BTC,event,50,8,0.0001564324010151561,0.00967704666415957,0.9734823535611445
news,Time-MoE,0,BTC,event,50,9,0.00017349595304457955,0.010164977559321924,1.0183654950908652
news,Time-MoE,0,BTC,event,50,10,0.00018990106636885843,0.010828679182771937,1.0852969071035026
news,Time-MoE,0,BTC,event,50,11,0.0002315492044477482,0.012230163146339795,1.2250575346933466
news,Time-MoE,0,BTC,event,50,12,0.0002385086592877566,0.01277855407347817,1.2775728516574125
news,Time-MoE,0,BTC,event,50,13,0.00023845741057805343,0.012758860514757626,1.2775158692203137
news,Time-MoE,0,BTC,event,50,14,0.00024412159656420705,0.012952013637551486,1.2968460140903315
news,Time-MoE,0,BTC,event,50,15,0.0002554935582991379,0.012951899554814541,1.2945832795509231
news,Time-MoE,0,BTC,event,50,16,0.00025331410984898877,0.01284758626339444,1.2814523964548095
news,Time-MoE,0,BTC,event,50,17,0.0002836028450844933,0.013384470487397371,1.3344278600512762
news,Time-MoE,0,BTC,event,50,18,0.00030126538002383244,0.013978987228824558,1.3945833067407722
news,Time-MoE,0,BTC,event,50,19,0.00032148379033665914,0.013920462197895264,1.3893472923686077
news,Time-MoE,0,BTC,event,50,20,0.00033543201952059975,0.01434596075900179,1.4337507428008567
news,Time-MoE,0,BTC,event,50,21,0.0003018077048539734,0.013778542076368673,1.3754405918717325
news,Time-MoE,0,BTC,event,50,22,0.00030988306963323684,0.01394650636121873,1.3923492877434658
news,Time-MoE,0,BTC,event,50,23,0.00031100471736045455,0.013902309105615542,1.3878534324088767
news,Time-MoE,0,BTC,event,50,24,0.0003433174463274405,0.014001453353406586,1.3958720192410923
news,Time-MoE,0,ETH,all,2184,1,6.0414149999139494e-05,0.005295663167610331,0.5290068150779809
news,Time-MoE,0,ETH,all,2184,2,0.0001370730868984276,0.008187693514322268,0.8171106342051649
news,Time-MoE,0,ETH,all,2184,3,0.00021823610488612156,0.010423274053286448,1.0392916790490632
news,Time-MoE,0,ETH,all,2184,4,0.00030663963321571753,0.012567354292987843,1.2518807690935139
news,Time-MoE,0,ETH,all,2184,5,0.0004048334477995047,0.014621332208455282,1.455702383165575
news,Time-MoE,0,ETH,all,2184,6,0.0005101642335271788,0.016603367472490877,1.6521227911341982
news,Time-MoE,0,ETH,all,2184,7,0.0006171502870898292,0.018451436051693897,1.8353644238417224
news,Time-MoE,0,ETH,all,2184,8,0.0007213045390853754,0.020050129091115393,1.9934682003260094
news,Time-MoE,0,ETH,all,2184,9,0.0008208450823393806,0.021560529937912434,2.142340920801708
news,Time-MoE,0,ETH,all,2184,10,0.0009229324359777183,0.02297510660746716,2.28191684080936
news,Time-MoE,0,ETH,all,2184,11,0.0010238934752074488,0.024228595029570706,2.405194352737729
news,Time-MoE,0,ETH,all,2184,12,0.0011261432708394264,0.02548245167336304,2.528065104600598
news,Time-MoE,0,ETH,all,2184,13,0.0012256234458855662,0.026672283773169592,2.6441773533403756
news,Time-MoE,0,ETH,all,2184,14,0.0013271492419375044,0.02777491684652804,2.7514095982112896
news,Time-MoE,0,ETH,all,2184,15,0.0014287419006295857,0.028893303339321417,2.8603300695182567
news,Time-MoE,0,ETH,all,2184,16,0.0015302988439775938,0.029908987910787485,2.958602333527233
news,Time-MoE,0,ETH,all,2184,17,0.0016271671762615157,0.030876635227977515,3.052033700746886
news,Time-MoE,0,ETH,all,2184,18,0.0017191299765605703,0.03173957218147159,3.1353827191272616
news,Time-MoE,0,ETH,all,2184,19,0.001807778320035898,0.03257164837236779,3.2153836842858152
news,Time-MoE,0,ETH,all,2184,20,0.0019011192093659468,0.03341720127494234,3.296831466054382
